feature_flag,config_field,maturity,proof_validated,model_validated,full_set_validated,promoted_profiles,validation_artifact,risk_ids,last_changed_task
SAT_USE_LBD,use_lbd,Reeval-Regress,true,true,false,none,log/efficacy-reeval-2026-05-29/FINDINGS.md,search-metadata,SAT-playground-gbc
SAT_LBD_UPDATE_REASONS,update_reason_lbd,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),reason-metadata,SAT-playground-gbc
SAT_LBD_UPDATE_PROP_REASONS,update_propagation_reason_lbd,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),reason-metadata|search-trajectory,SAT-playground-gbc
SAT_RESTART_REUSE_TRAIL,restart_reuse_trail,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),restart|search-trajectory|fixed-unknown,SAT-playground-gbc
SAT_CHRONO,chrono_backtrack,Reeval-Neutral,true,true,false,none,log/efficacy-reeval-2026-05-29/FINDINGS.md,backtracking,SAT-playground-gbc
SAT_BINARY_FAST,binary_fast_path,Reeval-Regress,true,true,false,none,log/efficacy-reeval-2026-05-29/FINDINGS.md,propagation|clause-minimization|fixed-unknown,SAT-playground-gbc
SAT_CLAUSE_MIN,clause_min_mode,Reeval-Regress,true,true,false,default|fast,log/efficacy-reeval-2026-05-29/FINDINGS.md,clause-minimization|shrink,SAT-playground-gbc
SAT_VMTF,vmtf,Reeval-HelpsInFStab,true,true,false,none,log/efficacy-reeval-2026-05-29/FINDINGS.md,branching|search-trajectory|fixed-unknown,SAT-playground-gbc
SAT_REORDER,reorder,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),branching|search-trajectory,SAT-playground-gbc
SAT_REPHASE,rephase,Reeval-Regress,true,true,false,none,log/efficacy-reeval-2026-05-29/FINDINGS.md,phase-selection|focused-stable,SAT-playground-gbc
SAT_MODE_USE_TICKS,mode_use_ticks,Reeval-Regress,true,true,false,none,log/efficacy-reeval-2026-05-29/FINDINGS.md,mode-switching|focused-stable|fixed-unknown,SAT-playground-gbc
SAT_LUCKY,lucky,Promoted,true,true,false,default|fast,log/lucky-confirm-2026-05-30+shuffle(SAT-playground-70h),pre-search|sat-fast-path|local-repair|default-demoted,SAT-playground-70h
SAT_OTFS,otfs,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),learned-clause-db|search-trajectory,SAT-playground-gbc
SAT_OTSS,otss,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),learned-clause-db|reason-strengthening,SAT-playground-gbc
SAT_REDUCE_TIER2_AT_BUDGET,reduce_tier2_at_budget,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),reduce-db|lbd-tiered,SAT-playground-gbc
SAT_WATCH_COMPACT,watch_compact_enabled,ReevalPending,true,true,false,none,archived-see-archive/efficacy-reeval-2026-05-29(do-not-consult-unless-asked),watch-list|reduce-db,SAT-playground-gbc
SAT_SIMPLIFICATION,simplification,SmokeSafe,true,true,false,default|fast,solver/12-kissat-inprocessing/BASELINE_LOCK.raw.txt,preprocess,0.3
SAT_BVE,bve,SmokeSafe,true,true,false,default|fast,solver/12-kissat-inprocessing/BASELINE_LOCK.raw.txt,preprocess-bve,0.3
SAT_FULL_BSR,full_bsr,SmokeSafe,true,true,false,default|fast,solver/12-kissat-inprocessing/BASELINE_LOCK.raw.txt,preprocess-bsr,0.3
SAT_BSR_FORMULA_GATE,bsr_formula_gate,Experimental,false,false,false,none,,preprocess-bsr,SAT-playground-f06
SAT_INPROCESS,inprocess,DiscriminatingValidated,true,true,true,default|fast,log/abtest-sweepguard1m-vs-base-2026-07-08-22-35-36,inprocessing|sat-sweep,SAT-playground-5b2.3.38
SAT_VIVIFY,vivify,FullSetValidated,true,true,true,default|fast,log/abtest-cand-vs-base-2026-07-11-08-54-35,vivification|learned-clause-vivify|binary-gate,SAT-playground-5b2.3.6
SAT_PROBE,probe,ParkingLot,false,false,false,none,,probing,0.3
SAT_HBR,hbr,ParkingLot,false,false,false,none,,hyper-binary-resolution,0.3
SAT_TRANSITIVE,transitive,ParkingLot,false,false,false,none,,transitive-reduction,0.3
SAT_FORWARD_SUBSUME,forward_subsume,ParkingLot,false,false,false,none,,subsumption,0.3
SAT_GATE_EXTRACT,gate_extract,Experimental,false,false,false,none,,gate-extraction,2ro
SAT_GATE_BVE,gate_bve,Experimental,false,false,false,none,,gate-aware-bve,2ro
SAT_RCHECK,rcheck,ParkingLot,false,false,false,none,,redundancy-checking,0.3
SAT_GAUSS,gauss,SmokeSafe,true,false,false,default|fast,log/seedgate-s12_gauss-2026-06-30-08-18-10,parity-gauss-xor,SAT-playground-qld
SAT_PAIR_ABS_REFUTE,pair_abs_refute,FullSetValidated,true,false,true,default|fast,log/abtest-pairabs-vs-base-2026-07-09-08-20-53,pair-parity-abstraction|xor-op,SAT-playground-2a7
SAT_ELS,els,Experimental,true,true,false,none,,els-equiv-substitution,SAT-playground-otd
SAT_CONGRUENCE,congruence,Experimental,true,true,false,none,,gate-congruence-closure,SAT-playground-otd
SAT_CONGRUENCE_XOR,congruence_xor,Experimental,true,true,false,none,,gate-congruence-xor,SAT-playground-otd
SAT_CONGRUENCE_ITER,congruence_iter,Experimental,true,true,false,none,,gate-congruence-iterated-bve-fixpoint,SAT-playground-otd
